NOM DU LIEU,SOURCE_codes_temp,ADRESSE,TELEPHONE,URL,PUBLICS,TYPOLOGIE,ESPACES PROPOSÉS,DESCRIPTION,IMAGE,MODELE_JURIDIQUE,FABRIQUE_DE_TERRITOIRE,DEPARTEMENT,ÉTAT DE VOTRE TIERS-LIEUX,BAN_latitude,BAN_longitude,BAN_adress,BAN_adress_full,BAN_city,BAN_postcode,BAN_depcode
Office Coffee,FTL,21 Avenue du Commandant l'Herminier 44600 Saint-Nazaire,02 53 30 80 75,http://www.officecoffee.fr,Professionnels,T,,L’Office Coffee est un espace de travail partagé et connecté  favorisant l’échange et le travail en réseau. Un lieu fonctionnel  modulable  convivial et dynamisant  idéal pour tous les Entrepreneurs  Entreprises  Freelances  Associations  Clubs et propice aux opportunités et aux rencontres professionnelles.,https://www.officecoffee.fr/wp-content/uploads/2018/06/20180613_150557-e1543247741587.jpg,SARL/SAS/SA,NON,44,En activité,47.285562,-2.213904,21 Avenue du Commandant L'Herminier,21 Avenue du Commandant L'Herminier 44600 Saint-Nazaire,Saint-Nazaire,44600,undefined
Les abeilles 44,CAPTL,3 rue de l'Écluse Saint-Nazaire 44600 Saint-Nazaire,Non renseigné,https://www.facebook.com/lesabeilles44/,Professionnels – Citoyens,T-O-D,,Ancien bâtiment de l’Union des remorqueurs de l’Océan (URO)  les Abeilles mêlent aujourd’hui hébergements  bureaux et activités culturelles et artistiques. «Les abeilles»  nommé ainsi pour propulser la mémoire du lieu  sont un cargo aux cales culturelles et une ruche créative où il fait bon venir butiner. Le ‘cargo-ruche’ Les Abeilles est une initiative privée  qui s'autofinance et qui peut être catégorisé parmi les ‘Tiers-lieux’. Ici  on expérimente la fabrication d’un ‘miel de territoire’.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/abeilles44.png,Association,NON,44,En activité,47.27138,-2.201349,3 Rue de l'Ecluse,3 Rue de l'Ecluse 44600 Saint-Nazaire,Saint-Nazaire,44600,undefined
Le Périscop,FTL,18 Boulevard Paul Perrin 44600 Saint-Nazaire,02 40 53 36 67,http://www.leperiscop.fr/l-espace-coworking/,Professionnels,T,,Un espace de travail  d’échanges  de collaboration  l’opportunité de travailler en dehors de chez soi  dans un environnement de travail et de créativité.,https://www.leperiscop.fr/wp-content/uploads/2015/03/Un-lieu-1024x576.jpg,SARL/SAS/SA,NON,44,En activité,47.28592,-2.214803,18 Boulevard Paul Perrin,18 Boulevard Paul Perrin 44600 Saint-Nazaire,Saint-Nazaire,44600,undefined
Ecole d'Arts - Ateliers numériques,PiNG,24 Avenue Léon Blum 44600 Saint-Nazaire,02 40 00 42 60,https://beauxartsnantes.fr/l%C3%A9cole-de-saint-nazaire,Citoyens,T-O-D,,L’école des Beaux-arts de Saint‑Nazaire existe depuis 1985. Implantée sur plus de 1 000 m²  elle est dotée de sept salles de cours où sont dispensées des disciplines de pratiques artistiques et culturelles en direction des enfants  adolescents et adultes : dessin  peinture  céramique  gravure  sculpture multimédia. L’école dispose d’équipements adaptés  tels que des fours pour la cuisson des céramiques  d’un atelier de gravure comprenant deux presses taille douce et un atelier numérique.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/BeauxArts_Saint_nazaire.JPG,Autre,NON,44,En activité,47.272628,-2.211987,24 Avenue Léon Blum,24 Avenue Léon Blum 44600 Saint-Nazaire,Saint-Nazaire,44600,undefined
Bluelab,CAPTL-PiNG,47 Le Paquebot 44600 Saint-Nazaire,07 67 90 07 21,https://bluelab44.fr/,Professionnels – Citoyens,T-O-D,,Le Bluelab est une association animée par des valeurs de partage de connaissances de savoir-faire et d’expériences intergénérationnelles. Notre équipe de salariés et bénévoles vous accueille dans ce lieu d’intelligence collective ouvert à tous les élans de créativité et d’innovation fondé sur des principes de partage et d’entraide pour rendre l’innovation accessible à tous. Notre tiers-lieu active l’émergence de projets en lien avec les nouvelles technologies l’économie circulaire l’inclusion numérique la recherche et l’expérimentation.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/refs/heads/main/photos/bluelab.png,Association,OUI,44,En activité,47.280252,-2.211828,66 Avenue de la République,66 Avenue de la République 44600 Saint-Nazaire,Saint-Nazaire,44600,undefined
Centre Socioculturel Tempo,PiNG,7 rue du 11 novembre 44130 Blain,02 40 87 12 58,http://csctempo.fr/,Citoyens,O-D,,Face à la place grandissante du numérique dans nos vies quotidiennes  certains enjeux nous semblent essentiels : les aspects écologiques de notre consommation technologique  la protection de nos droits  l’impact du tout numérique sur notre environnement. Le Centre Socioculturel Tempo propose des outils pour fabriquer  réparer… : du bois à l’impression 3D  de la couture à la création graphique  tout ce qu’il faut pour inventer  concevoir  créer !,http://csctempo.fr/wp-content/uploads/2018/09/20180914_TL.jpg,Association,NON,44,En activité,47.476321,-1.763342,7 Rue du 11 Novembre,7 Rue du 11 Novembre 44130 Blain,Blain,44130,undefined
La Minothèque,CAPTL,21 bis rue Louis Guihot 44130 Bouvron,02 28 01 20 54,https://www.facebook.com/BouvronTiersLieu/,Professionnels – Citoyens,D,,Depuis le 1er semestre 2018  le projet d’un tiers-lieu « circuit court » du partage  des échanges  lieu de développement des idées  des initiatives est lancé. L’objectif : disposer d’un espace commun fédérateur  partagé quotidiennement  pour se rencontrer  échanger des services  des « recettes »  des envies  à tout âge et sur tout sujet. L’évolution de la bibliothèque municipale étant aussi en réflexion  le choix d’implanter le tiers-lieu à la bibliothèque s’est imposé pour lancer une dynamique globale.  Le Tiers Lieu  installé dans les locaux de la bibliothèque  est un espace de partages et de rencontres porté par les citoyens et pour l’ensemble des bouvronnais. Il permet d’échanger les savoir-faire  les idées  de lancer des initiatives locales. C’est aussi un point d’information sur la vie de la commune.  Il offre : un espace de convivialité  un espace numérique  une bibliothèque : environ 5600 ouvrages pour adultes et enfants disponibles au prêt.  Il propose des activités gratuites ouvertes à tous.,,Association,NON,44,En activité,47.418262,-1.84762,21bis Rue Louis Guihot,21bis Rue Louis Guihot 44130 Bouvron,Bouvron,44130,undefined
Le Transistore (café-ateliers),CAPTL,La Ferme du Plessis  44240 La Chapelle sur Erdre,07 80 67 53 36,https://www.letransistore.org/,Professionnels – Citoyens,T-D,,Depuis sa création en 2016  le TransiStore mène des actions en faveur d’une consommation plus responsable.et de la réduction des déchets.Pour préserver les ressources de la planète et offrir une alternative aux objets neufs  l’association propose divers leviers : - une ressourcerie  - un café-ateliers Activités du café ateliers : Ateliers de sensibilisation à la réduction des déchets  repair café  collectes citoyenne de déchets Ouvert au public sur les temps d’animations. Consulter l’agenda sur le site internet pour plus d’informations.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/transistore_ferme.jpg,Association,NON,#N/A,En activité,47.30392,-1.551429,Rue du Plessis,Rue du Plessis 44240 La Chapelle-sur-Erdre,La Chapelle-sur-Erdre,44240,undefined
Le Millelieu,CAPTL,1 rue Félix Platel 44310 Saint Philbert de Grand Lieu,06 50 32 20 90,http://www.lemillelieu.fr/,Professionnels – Citoyens,T-D,,Le Millelieu est créateur d’évènements et d'aventures partagées pour la promotion locale. Sa volonté est de fédérer  promouvoir le patrimoine local et ses acteurs  sensibiliser à l’environnement  créer des synergies et des souvenirs inoubliables tout en portant des valeurs telles que la durabilité  la solidarité et l’écologie.,https://www.lemillelieu.fr/wp-content/uploads/2019/10/anniversaire.jpg,Association,NON,44,En activité,47.03702,-1.643094,1 Rue Félix Platel,1 Rue Félix Platel 44310 Saint-Philbert-de-Grand-Lieu,Saint-Philbert-de-Grand-Lieu,44310,undefined
Cow-B,FTL,7 Rue Jean-Baptiste Olivier 44130 Bouvron,09 61 64 16 84,https://www.cow-b.fr/,Professionnels,T,,Dédié aux indépendant·e·s  télétravailleur·euse·s  free-lances  ou aux gens de passage  le coworking de Bouvron offre un cadre au calme et convivial pour travailler dans de bonnes conditions. C’est également un point de chute idéal pour retrouver une vie sociale  ou encore le moyen d’avoir un bureau pas cher.,https://www.cow-b.fr/wp-content/uploads/2019/09/Open-space-coworking-bouvron-4-1920x1440.jpg,Association,NON,44,En activité,47.417045,-1.844633,7 Rue Jean-Baptiste Olivier,7 Rue Jean-Baptiste Olivier 44130 Bouvron,Bouvron,44130,undefined
